label,pkv,down_mean,down_std,service,split,minfill_mean,minfill_std,totQ,fill_q10,fill_q25,fill_med,n_starved
Lyapunov (ours)@15000,0.0,2.1578947368421053,0.0,0.2596342381837764,556.3,0.13837471426302703,0.003208412931168817,1924.3065600000068,0.1418753964246954,0.15568674998493304,0.1961128884524116,0
Greedy-Q@15000,0.0,9.350877192982455,0.0,0.716960562808255,3454.8,0.2724127318254269,0.004700762345053009,5800.375849999981,0.3274319813324813,0.4178612914017371,0.5996110864953238,0
Greedy-E@15000,0.0,5.035087719298246,0.0,0.7759055870303113,0.0,0.14226843390796967,0.002228201127640181,3204.402189999973,0.16856916479034884,0.20778439148120337,0.2719297189363056,0
Random@15000,0.0,8.271929824561404,0.16083997732893224,0.7422029550163061,2582.4,0.32451051828999,0.006809828031099958,4766.638619999973,0.3335624323510737,0.3709464615321728,0.477922307852962,0
Static@15000,0.0,5.682456140350878,0.14385964912280702,0.7652639997141051,0.0,0.1918107568708437,0.004672423719046861,5496.27819999997,0.2892627621901614,0.4123176574427494,0.5271983656239084,0
