label,pkv,down_mean,down_std,service,split,minfill_mean,minfill_std,totQ,fill_q10,fill_q25,fill_med,n_starved
Lyapunov (ours)@19000,0.0,0.9122807017543859,0.0,0.3379127426060389,812.8,0.1989366783524414,0.002851860003199392,2473.45457000001,0.204965981714335,0.2188750447506512,0.24974069328903747,0
Greedy-Q@19000,0.0,6.842105263157896,0.28848848829606266,0.7302281646806071,3544.5,0.27691304281093804,0.005216640681094342,5914.93190999998,0.33436527465487176,0.42704705778646534,0.6090058830011184,0
Greedy-E@19000,0.0,1.368421052631579,0.0,0.7793414795105872,0.0,0.14403875097041416,0.0019003391322491808,3211.567879999973,0.16971684157664882,0.20845896214447376,0.27373958206088966,0
Random@19000,0.0,4.926315789473684,0.3413441826530613,0.7571461792252198,2703.3,0.3355722210437371,0.004888772050085418,4883.760979999969,0.34236905693513603,0.37846818931714366,0.48935362559769147,0
Static@19000,0.0,1.368421052631579,0.0,0.7803291530504683,0.0,0.1955700599321376,0.0049615966363314775,5604.870139999969,0.29496460696303717,0.4202161594476156,0.5372335573447382,0
