label,pkv,down_mean,down_std,service,split,minfill_mean,minfill_std,totQ,fill_q10,fill_q25,fill_med,n_starved
Lyapunov (ours)@22000,0.0,0.5277777777777778,0.0,0.3602489446449647,1122.5,0.0,0.0,2100.89555,0.02538976802764947,0.09710947593251681,0.25006959232882214,8
Greedy-Q@22000,0.0,4.116666666666667,0.5171145012542264,0.7287705177617394,2886.1,0.0,0.0,4951.610620000002,0.08012842875931797,0.18617230356648234,0.5351029288453699,4
Greedy-E@22000,0.0,0.5277777777777778,0.0,0.7565732267366012,0.0,0.0,0.0,3073.6496000000006,0.0,0.02346303138280932,0.26245235313554155,13
Random@22000,0.0,3.166666666666667,0.0,0.7385051822067359,2736.0,0.0,0.0,3611.154880000001,0.04107625386143418,0.12672174740491723,0.410583600841247,6
Static@22000,0.0,0.5277777777777778,0.0,0.7568982642773322,0.0,0.0,0.0,3795.5490000000004,0.0,0.0891194247501704,0.3156873603082616,8
