value,policy,down_mean,down_std,minfill_mean,minfill_std,split_mean
0.1,Lyapunov (ours),1.590643274853801,0.0,0.15220223031828561,0.0017657978488898188,646.8
0.1,Greedy-Q,7.953216374269006,0.0,0.2757752665714037,0.0034719830506400894,3492.9
0.1,Greedy-E,2.3859649122807016,0.0,0.14247637770383603,0.001868712634423558,0.0
0.1,Random,6.24327485380117,0.18223108026724974,0.3309229003847941,0.005637780912030667,2664.0
0.1,Static,3.181286549707602,0.0,0.19444115456121563,0.005055895971596325,0.0
0.2,Lyapunov (ours),1.590643274853801,0.0,0.13730800330207843,0.0012839892971399298,966.4
0.2,Greedy-Q,11.691228070175438,0.19481321930907147,0.1547807910956313,0.003428695921895513,3975.9
0.2,Greedy-E,2.3859649122807016,0.0,0.11376829064492064,0.0011239842982901668,0.0
0.2,Random,9.782456140350877,0.19481321930907147,0.22717019732091243,0.002932895975968367,3164.5
0.2,Static,5.885380116959064,0.1590643274853801,0.10816088304105338,0.003878105490139043,0.0
0.3,Lyapunov (ours),1.590643274853801,0.0,0.10083848519807186,0.0007938463485106284,1071.3
0.3,Greedy-Q,13.28187134502924,0.19481321930907147,0.08431068219368466,0.0020885547980225793,3930.3
0.3,Greedy-E,4.374269005847953,0.47051862602429695,0.08990441420299612,0.0007465719721220853,0.0
0.3,Random,11.53216374269006,0.0,0.16967343887033248,0.004016805772340996,3247.5
0.3,Static,7.237426900584795,0.1590643274853801,0.0556547313399909,0.0015738069003429075,0.0
0.4,Lyapunov (ours),1.590643274853801,0.0,0.07425165973851336,0.0011381695585761535,1133.8
0.4,Greedy-Q,13.52046783625731,0.0,0.04317837230289688,0.0013380867292339886,3707.8
0.4,Greedy-E,5.567251461988304,0.0,0.07330146635865163,0.0013080248356632,0.0
0.4,Random,11.929824561403509,0.0,0.13360867744278665,0.0019351586746882835,3270.1
0.4,Static,8.78830409356725,0.3751524660700872,0.025062137195355196,0.0011164098320080942,0.0
0.5,Lyapunov (ours),1.590643274853801,0.0,0.055199915291352285,0.000869967055958537,1173.2
0.5,Greedy-Q,13.679532163742689,0.19481321930907147,0.019912172815888016,0.0007127863628470604,3437.2
0.5,Greedy-E,5.567251461988304,0.0,0.06033957256392146,0.0010273762792720334,0.0
0.5,Random,11.969590643274854,0.1192982456140351,0.10961441454404915,0.001730436121600387,3326.0
0.5,Static,8.629239766081872,0.18223108026724974,0.010242746680292797,0.0003252333438584756,0.0
0.6,Lyapunov (ours),1.590643274853801,0.0,0.04231942807005504,0.00034939431309575076,1207.1
0.6,Greedy-Q,13.52046783625731,0.0,0.007309847514064998,0.0006376147806963728,3079.1
0.6,Greedy-E,5.567251461988304,0.0,0.05057082826762257,0.000706296420117968,0.0
0.6,Random,12.0093567251462,0.1590643274853801,0.09190026288116726,0.00190986329202584,3314.9
0.6,Static,8.947368421052632,0.19883040935672514,0.003425202388914945,0.0002980088137019386,0.0
0.7,Lyapunov (ours),1.590643274853801,0.0,0.033447816571790565,0.0003892583244412666,1237.4
0.7,Greedy-Q,13.162573099415207,0.1192982456140351,0.002051122685889964,0.00041105048829847413,2613.9
0.7,Greedy-E,5.567251461988304,0.0,0.043674746928769506,0.0008975829620245829,0.0
0.7,Random,12.128654970760234,0.19883040935672514,0.0791528679603121,0.0014655278959522582,3314.6
0.7,Static,9.106432748538012,0.1192982456140351,0.0008339497494882315,0.00014317644784549733,0.0
