param_value,policy,pcap_violations,blackout_slots,service_rate,split_tasks,min_fill,total_quality
4,Lyapunov (ours),0,0,0.6299382413488873,3755,0.3288303416328869,3388.318999999973
4,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
4,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
4,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
4,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
6,Lyapunov (ours),0,0,0.6299382413488873,3755,0.32892632204396594,3388.3849999999734
6,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
6,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
6,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
6,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
8,Lyapunov (ours),0,0,0.6299382413488873,3755,0.32892632204396594,3388.3849999999734
8,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
8,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
8,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
8,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
10,Lyapunov (ours),0,0,0.6299382413488873,3755,0.32892632204396594,3388.3849999999734
10,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
10,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
10,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
10,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
14,Lyapunov (ours),0,0,0.6299382413488873,3755,0.32892632204396594,3388.450999999973
14,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
14,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
14,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
14,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
