u,min_fill,min_fill_sd,qu_end,qu_end_sd,down,feasible_frac,totq,note,bisect_evals
0.05,0.11915341416085112,0.0019035950326607722,6.447368421052632e-06,9.817118107719038e-07,0.0023859649122807023,1.0,15442.872000000076,,
0.07500000000000001,0.12139200956408387,0.001607022371982508,9.671052631578946e-06,1.4725677161578536e-06,0.0023859649122807023,1.0,15420.814310000074,,
0.10000000000000002,0.12705471833854345,0.0013743377872558948,1.3070350877192986e-05,2.1291120589188537e-06,0.0023859649122807023,1.0,15356.324570000066,,
0.12500000000000003,0.1350706279591763,0.0012226204516082718,1.7092982456140406e-05,3.428089568800769e-06,0.0023859649122807023,1.0,15271.937360000058,,
0.15000000000000002,0.1494479943433641,0.0003900560106934721,8.877315789469794e-05,1.7790316198603458e-05,0.0023859649122807023,1.0,15096.420920000039,,
0.17500000000000004,0.17201415551314514,0.000326929013156787,0.0003016790350874035,3.191048799601294e-05,0.0023859649122807023,1.0,14712.520690000014,,
0.20000000000000007,0.18932243778786922,0.0007115264937590658,0.0010713993859644355,6.742709931408544e-05,0.0023859649122807023,0.1,14362.69098999993,,
0.22500000000000006,0.1959496802175477,0.0008963640389505675,0.002912312631579847,9.90986160925809e-05,0.0023859649122807023,0.0,14414.724029999914,,
0.25000000000000006,0.19626820956064736,0.001289085109355567,0.005371702982456569,0.00015396412782264782,0.0023859649122807023,0.0,14766.502179999927,,
0.2750000000000001,0.19569828619883695,0.0011416189027104746,0.00793092859649009,0.0001646756848883283,0.0023859649122807023,0.0,15104.018679999932,,
0.3000000000000001,0.19443631635923475,0.0009463244543266738,0.010570309649120601,0.0001605770851116266,0.0023859649122807023,0.0,15445.586349999943,,
0.32500000000000007,0.19280465889102089,0.0006002099111514982,0.013247019649126201,0.0001594831778531825,0.0023859649122807023,0.0,15781.049709999952,,
0.3500000000000001,0.19105016977360106,0.0006720988296168542,0.0159217277192949,0.00017154994081403877,0.0023859649122807023,0.0,16113.32829999996,,
0.3750000000000001,0.18988023353633382,0.0007164025262042221,0.018542574912280892,0.00018305351101334386,0.0023859649122807023,0.0,16435.833489999965,,
0.40000000000000013,0.18934226033694235,0.0008013186977621972,0.021100190526321037,0.00020198243660636707,0.0023859649122807023,0.0,16748.41881999997,,
-1,0.17500000000000004,0.0,0.0,0.0,0.0,-1.0,0.0,dense_boundary,-1
-2,0.198046875,0.0,0.0,0.0,0.0,-1.0,0.0,bisection_boundary,6
