panel,battery,reserve,kappa,D,cov,cov_seed,down,min_batt,battery_ok,recovery_ok
10.0,15.0,0.8,0.999999,164781.32772331435,0.0,0.0,0.10523630504833512,5929.029143099628,False,False
10.0,15.0,0.9,0.999999,827251.1123907337,0.0,0.0,0.08783566058002149,5476.4030323993375,False,False
10.0,15.0,1.0,0.999999,856416.6835993687,0.0,0.0,0.08689581095596133,4928.325516675333,False,False
10.0,17.0,0.8,0.999999,280885.8466018218,0.2,0.15,0.10158610812746152,5128.235571437246,False,False
10.0,17.0,0.9,0.999999,723236.1387451881,0.0,0.0,0.0890171858216971,4899.281363429212,False,False
10.0,17.0,1.0,0.999999,856665.8675787894,0.0,0.0,0.08691729323308271,4907.9824779422,False,False
10.0,19.0,0.8,0.999999,238520.81177208864,0.0,0.03,0.10241496598639455,5180.704629596585,False,False
10.0,19.0,0.9,0.999999,759822.2361877352,0.0,0.0,0.08877551020408161,5150.9867973224955,False,False
10.0,19.0,1.0,0.999999,856665.8675787894,0.0,0.0,0.08717687074829931,4908.544261943198,False,False
10.0,21.0,0.8,0.999999,320742.19717555086,0.05,0.03,0.09872180451127818,5072.319143099785,False,False
10.0,21.0,0.9,0.999999,651350.3134344808,0.0,0.015000000000000003,0.09041353383458647,4925.235571437257,False,False
10.0,21.0,1.0,0.999999,851114.186315833,0.0,0.0,0.08729323308270678,4894.331261258001,False,False
10.0,23.0,0.8,0.999999,215615.911972178,0.35,0.37,0.10499462943071966,5163.084196873429,False,False
10.0,23.0,0.9,0.999999,653681.2680227918,0.0,0.02,0.09050125313283208,5188.331261258001,False,False
10.0,23.0,1.0,0.999999,838745.8758389746,0.0,0.0,0.08728965270318653,4875.769493219228,False,False
11.0,15.0,0.8,0.997259958662921,2576.4906012040915,0.45,0.485,0.03335526315789474,7573.322142546809,False,False
11.0,15.0,0.9,0.999999,54507.903651722445,0.35,0.41000000000000003,0.024851503759398492,7790.113442540842,False,False
11.0,15.0,1.0,0.999999,259699.72240172097,0.0,0.045,0.01549248120300752,8654.271308605581,False,False
11.0,17.0,0.8,0.9758929232255449,2994.134543711728,0.5,0.44000000000000006,0.033575008950948795,7577.752200827768,False,False
11.0,17.0,0.9,0.999999,51085.013254252386,0.35,0.44000000000000006,0.024334944504117436,7819.6071219242,False,False
11.0,17.0,1.0,0.999999,253408.42564169396,0.1,0.22000000000000003,0.01248657357679914,8469.61680159696,False,False
11.0,19.0,0.8,0.9801445039131803,2721.4432162132375,0.65,0.48,0.03375760830648049,7625.169057062129,False,False
11.0,19.0,0.9,0.999999,44933.93657697826,0.4,0.36,0.024900107411385607,7801.947121924146,False,False
11.0,19.0,1.0,0.999999,232682.9661019962,0.05,0.16499999999999998,0.012759756534192626,8429.198708149906,False,False
11.0,21.0,0.8,0.999999,1941.574887583119,0.7,0.615,0.03364554242749731,7658.979057062072,False,False
11.0,21.0,0.9,0.999999,38392.089800032605,0.35,0.43,0.024823845327604725,7947.663323449799,False,False
11.0,21.0,1.0,0.999999,215756.287696218,0.05,0.2,0.013198353025420695,8406.122045056813,False,False
11.0,23.0,0.8,0.9824224463345642,1417.5138493987158,0.65,0.585,0.03435409953455067,7830.161633048459,False,False
11.0,23.0,0.9,0.999999,25423.060333141224,0.5,0.42000000000000004,0.026253132832080202,8058.222121923991,False,False
11.0,23.0,1.0,0.999999,194965.67990630938,0.1,0.22000000000000003,0.013651629072681703,8404.985167379196,False,False
12.0,15.0,0.8,0.0,249.38968554573214,0.4,0.48999999999999994,0.0,8972.289999999995,True,False
12.0,15.0,0.9,0.9132988145769573,1120.7169734914419,0.4,0.4250000000000001,0.0,8951.624999999996,True,False
12.0,15.0,1.0,0.999999,13754.45166589477,0.55,0.4,0.0,8852.504999999994,True,False
