p_isl,split_mean,split_std,minfill_mean,minfill_std,totQ_mean,down_mean
0.3,327.8,14.3024,0.1456,0.0039,2124.7391,1.5906
0.4,358.0,14.0784,0.1477,0.0038,2111.5549,1.5906
0.5,358.0,14.0784,0.1477,0.0038,2111.5549,1.5906
0.6,412.7,12.8066,0.1499,0.0027,2119.9649,1.5906
0.7,568.2,13.7971,0.152,0.0018,2139.4752,1.5906
0.8,568.5,13.735,0.152,0.0018,2139.4547,1.5906
0.9,568.5,13.735,0.152,0.0018,2139.4547,1.5906
1.0,646.8,14.7635,0.1522,0.0018,2141.6427,1.5906
