policy,pkv,down_mean,down_std,service,split,minfill_mean,minfill_std,totQ
Proposed(V=1),0.0,1.590643274853801,0.0,0.2847505616108706,659.4,0.15586488651449132,0.0025154491737833713,2116.893990000008
Proposed(V=10),0.0,1.590643274853801,0.0,0.2861819135531183,646.8,0.15220223031828561,0.0017657978488898188,2141.6427300000078
Proposed(V=100),0.0,1.590643274853801,0.0,0.2981736986431238,541.9,0.13020990088917075,0.0021108146731127226,2295.913680000007
Greedy-Q,0.0,7.953216374269006,0.0,0.7263318945722265,3492.9,0.2757752665714037,0.0034719830506400894,5882.759009999982
Greedy-E,0.0,2.3859649122807016,0.0,0.7757375861715047,0.0,0.14247637770383603,0.001868712634423558,3198.6426299999735
Random,0.0,6.24327485380117,0.18223108026724974,0.7538668975259212,2664.0,0.3309229003847941,0.005637780912030667,4860.44933999997
Static,0.0,3.181286549707602,0.0,0.7763356456940306,0.0,0.19444115456121563,0.005055895971596325,5576.317329999969
