value,policy,down_mean,down_std,minfill_mean,minfill_std,split_mean
14000,Lyapunov (ours),6.052631578947368,0.0,0.1528814170501694,0.002510804544417613,621.0
14000,Greedy-Q,9.0453216374269,0.23538011695906433,0.2724081328088431,0.005685543398318566,3459.3
14000,Greedy-E,7.464912280701755,0.32946353265504735,0.14081794818345378,0.0018164688739097945,0.0
14000,Random,8.742690058479532,0.0,0.3223943812263729,0.007807290049611814,2582.7
14000,Static,8.070175438596491,0.0,0.19070006434133957,0.004860428953750367,0.0
15000,Lyapunov (ours),2.1578947368421053,0.0,0.13837471426302703,0.003208412931168817,556.3
15000,Greedy-Q,9.350877192982455,0.0,0.2724127318254269,0.004700762345053009,3454.8
15000,Greedy-E,5.035087719298246,0.0,0.14226843390796967,0.002228201127640181,0.0
15000,Random,8.271929824561404,0.16083997732893224,0.32451051828999,0.006809828031099958,2582.4
15000,Static,5.682456140350878,0.14385964912280702,0.1918107568708437,0.004672423719046861,0.0
16580,Lyapunov (ours),1.590643274853801,0.0,0.16455990163593265,0.0023307870546083386,672.9
16580,Greedy-Q,7.953216374269006,0.0,0.2757752665714037,0.0034719830506400894,3492.9
16580,Greedy-E,2.3859649122807016,0.0,0.14247637770383603,0.001868712634423558,0.0
16580,Random,6.24327485380117,0.18223108026724974,0.3309229003847941,0.005637780912030667,2664.0
16580,Static,3.181286549707602,0.0,0.19444115456121563,0.005055895971596325,0.0
17500,Lyapunov (ours),1.2587719298245614,0.0,0.17658222504088433,0.002436232610144532,726.9
17500,Greedy-Q,7.175,0.12587719298245612,0.2764636402688597,0.00417163952258572,3537.0
17500,Greedy-E,1.678362573099415,0.0,0.14324183980982977,0.0018729968111356238,0.0
17500,Random,5.4546783625731,0.0,0.3320087453023081,0.004797681760980185,2700.5
17500,Static,2.9371345029239766,0.0,0.19449838316908657,0.005093048212230313,0.0
19000,Lyapunov (ours),0.9122807017543859,0.0,0.1989366783524414,0.002851860003199392,812.8
19000,Greedy-Q,6.842105263157896,0.28848848829606266,0.27691304281093804,0.005216640681094342,3544.5
19000,Greedy-E,1.368421052631579,0.0,0.14403875097041416,0.0019003391322491808,0.0
19000,Random,4.926315789473684,0.3413441826530613,0.3355722210437371,0.004888772050085418,2703.3
19000,Static,1.368421052631579,0.0,0.1955700599321376,0.0049615966363314775,0.0
22000,Lyapunov (ours),0.5277777777777778,0.0,0.23492331557380414,0.002329152212243248,935.3
22000,Greedy-Q,5.594444444444444,0.4222222222222223,0.2768032669897654,0.005004059141677972,3614.3
22000,Greedy-E,0.5277777777777778,0.0,0.1436111807329914,0.0022917266145814933,0.0
22000,Random,3.747222222222222,0.6442348797192787,0.3371064643597942,0.0060752405887188245,2756.0
22000,Static,0.5277777777777778,0.0,0.1955700599321376,0.0049615966363314775,0.0
