value,policy,down_mean,down_std,minfill_mean,minfill_std,split_mean
16000,Lyapunov (ours),2.2402046783625735,0.2164720914482487,0.14626089821271354,0.0025626632052634635,137.4
16000,Greedy-Q,9.20891812865497,0.013181427947995244,0.39233995457243037,0.010092595885219689,5166.2
16000,Greedy-E,4.908040935672514,0.008999247600299845,0.155990559848397,0.0016815420841037626,0.0
16000,Random,8.527485380116959,0.23146724076437747,0.34611073453548,0.0059564339805256725,3189.6
16000,Static,4.567836257309942,0.11033353650976849,0.11883042050353147,0.002362676119481167,0.0
17000,Lyapunov (ours),0.7660818713450294,1.1102230246251565e-16,0.15064527821507917,0.0028482266124204006,134.2
17000,Greedy-Q,7.229824561403508,0.36675619377665664,0.39613580843682594,0.007616343418334789,5292.3
17000,Greedy-E,3.764912280701754,0.7204778042904271,0.15608855657668175,0.0018745644134580688,0.0
17000,Random,5.231140350877193,0.01469934545529374,0.3548502714502387,0.004273902396287016,3337.8
17000,Static,2.879239766081872,0.18824846623048852,0.11883042050353147,0.002362676119481167,0.0
18000,Lyapunov (ours),0.4049707602339182,5.551115123125783e-17,0.16859891220344722,0.0024989124622904215,201.0
18000,Greedy-Q,6.991666666666665,0.05975598872213952,0.39796701474939067,0.007267900754314803,5299.0
18000,Greedy-E,0.8099415204678364,1.1102230246251565e-16,0.1560262781701482,0.0019393863725194244,0.0
18000,Random,5.332309941520469,0.01459134641861849,0.35423669798624885,0.004929271959949422,3333.3
18000,Static,0.8099415204678364,1.1102230246251565e-16,0.11883042050353147,0.002362676119481167,0.0
19000,Lyapunov (ours),0.4283625730994152,0.0,0.19479732685700607,0.0032316885635333367,314.6
19000,Greedy-Q,5.837719298245615,0.046250618689347635,0.3997258069127535,0.0057253003476724325,5363.8
19000,Greedy-E,0.8567251461988304,0.0,0.1560956543016012,0.00198290024096393,0.0
19000,Random,3.3067251461988305,0.2758402727892954,0.35812309596267156,0.005518122313574324,3419.0
19000,Static,0.4283625730994152,0.0,0.11883042050353147,0.002362676119481167,0.0
20000,Lyapunov (ours),0.4502923976608188,5.551115123125783e-17,0.22153575147381505,0.0035822172241447275,428.8
20000,Greedy-Q,5.871198830409357,0.14956569080305304,0.39914509846131674,0.00973218857418556,5365.2
20000,Greedy-E,0.4502923976608188,5.551115123125783e-17,0.1560241999401511,0.002018060229163305,0.0
20000,Random,2.541228070175438,0.15536994818677854,0.36135393594564225,0.0059179604500813245,3458.9
20000,Static,0.4502923976608188,5.551115123125783e-17,0.11883042050353147,0.002362676119481167,0.0
24000,Lyapunov (ours),0.0,0.0,0.29645330438805223,0.003937250164016124,802.4
24000,Greedy-Q,3.4897660818713456,0.03586493020244394,0.40354469757598965,0.00858673725460495,5494.9
24000,Greedy-E,0.0,0.0,0.15615116723739472,0.002115030623012857,0.0
24000,Random,1.1900584795321638,0.21637426900584786,0.36653058179729436,0.005409358731972778,3518.7
24000,Static,0.0,0.0,0.11883042050353147,0.002362676119481167,0.0
