policy,pkv,down_mean,down_std,service,split,minfill_mean,minfill_std,totQ
Proposed(V=1),0.0,1.590643274853801,0.0,0.29124630247719296,676.2,0.16527553188823063,0.0025197445601570848,2145.252490000009
Proposed(V=10),0.0,1.590643274853801,0.0,0.2918033579243561,672.9,0.16455990163593265,0.0023307870546083386,2151.380220000009
Proposed(V=100),0.0,1.590643274853801,0.0,0.298509627558296,640.4,0.1546330755804445,0.0020639193006239303,2223.5029900000095
Greedy-Q,0.0,7.953216374269006,0.0,0.7263318945722265,3492.9,0.2757752665714037,0.0034719830506400894,5882.759009999982
Greedy-E,0.0,2.3859649122807016,0.0,0.7757375861715047,0.0,0.14247637770383603,0.001868712634423558,3198.6426299999735
Random,0.0,6.24327485380117,0.18223108026724974,0.7538668975259212,2664.0,0.3309229003847941,0.005637780912030667,4860.44933999997
Static,0.0,3.181286549707602,0.0,0.7763356456940306,0.0,0.19444115456121563,0.005055895971596325,5576.317329999969
