param_value,policy,pcap_violations,blackout_slots,service_rate,split_tasks,min_fill,total_quality,pcap_violations_sd,blackout_slots_sd,service_rate_sd,split_tasks_sd,min_fill_sd,total_quality_sd
0.02,Lyapunov (ours),0.0,0.0,0.9266157976378088,1369.6,0.4834131173687052,1017.7591999999986,0.0,0.0,0.003856141715866123,25.546819762937226,0.006707968240661889,18.286420911704013
0.02,Greedy-Q,0.0,921.4,0.950956313169262,1879.3,0.5136055740458427,1100.2244999999998,0.0,483.2165560077594,0.0033888311198598093,35.56416735985815,0.009042041352941352,20.561920383320523
0.02,Greedy-E,0.0,0.0,0.9512507295948559,0.0,0.3587385193998423,768.2593999999979,0.0,0.0,0.0033790763648089096,0.0,0.006456343065279356,14.45573038071741
0.02,Random,0.0,0.0,0.9504741083931986,1085.7,0.4781266946657626,984.543099999998,0.0,0.0,0.004748090992288756,27.018697229881383,0.004353224560549452,19.88258034788256
0.02,Static,0.0,0.0,0.9512507295948559,0.0,0.4182278216118765,895.6591999999977,0.0,0.0,0.0033790763648089096,0.0,0.0075269929203257415,16.852911800635475
0.05,Lyapunov (ours),0.0,0.0,0.8377130335723335,1696.9,0.4008290221522956,2130.267699999994,0.0,0.0,0.0052899907423203055,20.007248686413632,0.003505481736258363,18.434343096785867
0.05,Greedy-Q,0.0,12706.3,0.8282616330342583,3384.2,0.40331819187859724,2335.806999999981,0.0,1212.7538950669257,0.004485721992566538,12.50439922587247,0.007454034655205894,12.985018267218447
0.05,Greedy-E,0.0,365.0,0.8824894227884311,0.0,0.30961035980393536,1797.6864000000066,0.0,474.60594180857026,0.004352299929967771,0.0,0.005844019107768017,18.382947463343253
0.05,Random,0.0,0.0,0.8826158755194353,2295.7,0.43642935351271017,2260.408899999993,0.0,0.0,0.002947366143854846,32.425452965224714,0.0033776878127330474,21.6142253964836
0.05,Static,0.0,0.0,0.8824894227884311,0.0,0.36095278127896024,2095.795199999994,0.0,0.0,0.004352299929967771,0.0,0.006813127804030295,21.431375937162727
0.1,Lyapunov (ours),0.0,0.0,0.7702551512028768,602.1,0.3261016696516159,3393.6103000000658,0.0,0.0,0.0033907457724105913,25.71555949226071,0.0022530759551053145,21.676416392247578
0.1,Greedy-Q,0.0,30082.6,0.5893154054346066,2145.9,0.2252554281415272,3037.683700000003,0.0,2898.209626648839,0.004218086330748692,22.487552112224222,0.005797718065727225,6.692349961710674
0.1,Greedy-E,0.0,5578.0,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,1099.5138016414346,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
0.1,Random,0.0,17655.5,0.6996722465690957,1931.2,0.3211526404499769,3363.3208000000436,0.0,2549.0180952672736,0.005084458531316298,24.11555514600483,0.002997605854862867,17.97549141359131
0.1,Static,0.0,0.0,0.7801935875740049,0.0,0.2756865755681963,3712.371200000073,0.0,0.0,0.0036656762986525763,0.0,0.005481408597196575,30.412925925667775
0.2,Lyapunov (ours),0.0,0.0,0.5093326453751494,7.9,0.20115338788534537,4173.177300000152,0.0,0.0,0.0030995476028057366,2.2561028345356955,0.0010987450368205448,5.216761850995483
0.2,Greedy-Q,0.0,37235.3,0.3241139244433659,1681.6,0.08490309740620286,3272.747600000044,0.0,2179.995323389479,0.0016874662003941493,21.015232570685484,0.003770204075206455,11.2614739727977
0.2,Greedy-E,0.0,15570.4,0.5994001727100281,0.0,0.12718171186591257,4901.489400000099,0.0,1901.5395972737463,0.003914890981999439,0.0,0.003943978914577473,22.872398965567545
0.2,Random,0.0,30535.2,0.4255216306745403,1042.0,0.18519414754784294,3916.1238000001044,0.0,1268.5791106588506,0.0021399237874052254,16.235762994081924,0.0014471056252565587,15.882174849814264
0.2,Static,0.0,22667.9,0.4367309483416289,0.0,0.10879951660710403,4163.518400000119,0.0,2247.4519994874195,0.0025048073331685196,0.0,0.003513091952214405,15.603720499931699
0.4,Lyapunov (ours),0.0,0.0,0.26114351927651513,2.3,0.10153664922915202,4272.944300000159,0.0,0.0,0.0010053023981968679,0.45825756949558405,0.0009962492245831945,1.6935623431098143
0.4,Greedy-Q,0.0,41460.6,0.16291074121896215,1685.5,0.015476553299730425,3290.0833000000357,0.0,2248.9913383559306,0.0019347941946801553,43.119021324700775,0.0009379718799840479,23.76702435329116
0.4,Greedy-E,0.0,23858.6,0.31992249078277873,0.0,0.024666990223706203,5233.859199999895,0.0,2674.21959457334,0.001282449944837295,0.0,0.0008341890213267841,1.6332554484859656
0.4,Random,0.0,35232.2,0.22903685317519734,683.1,0.09815318971261816,4154.993700000132,0.0,2785.8418045538765,0.0007641531726712411,18.468622038473796,0.0008794364132306086,12.915939973925306
