policy,pkv,down_mean,down_std,service,split,minfill_mean,minfill_std,totQ
Proposed(V=1),0.0,1.9883040935672516,0.0,0.4849708817887822,1320.3,0.2877522714867256,0.0018902312850848765,3582.0558100000044
Proposed(V=10),0.0,1.9883040935672516,0.0,0.4869704351886267,1303.3,0.28665525619164284,0.002116764871335315,3616.7790800000053
Proposed(V=100),0.0,1.9883040935672516,0.0,0.5009115285017138,1192.6,0.25941820027997836,0.0017567915023225852,3808.6683100000055
Greedy-Q,0.0,7.953216374269006,0.0,0.7263318945722265,3492.9,0.2757752665714037,0.0034719830506400894,5882.759009999982
Greedy-E,0.0,2.3859649122807016,0.0,0.7757375861715047,0.0,0.14247637770383603,0.001868712634423558,3198.6426299999735
Random,0.0,6.24327485380117,0.18223108026724974,0.7538668975259212,2664.0,0.3309229003847941,0.005637780912030667,4860.44933999997
Static,0.0,3.181286549707602,0.0,0.7763356456940306,0.0,0.19444115456121563,0.005055895971596325,5576.317329999969
