value,policy,down_mean,down_std,minfill_mean,minfill_std,split_mean
6,Lyapunov (ours),0.0,0.0,0.29694664818191474,0.0031753892309789667,846.9
6,Greedy-Q,0.8099415204678364,1.1102230246251565e-16,0.40917609551925527,0.008190075349711218,5645.5
6,Greedy-E,0.36447368421052634,0.12149122807017546,0.15618760423419276,0.0019758676111795983,0.0
6,Random,0.44546783625731,0.12149122807017544,0.3678323561570129,0.004945647866148701,3553.7
6,Static,0.0,0.0,0.11883042050353147,0.002362676119481167,0.0
7,Lyapunov (ours),0.4049707602339182,5.551115123125783e-17,0.16859891220344722,0.0024989124622904215,201.0
7,Greedy-Q,6.991666666666665,0.05975598872213952,0.39796701474939067,0.007267900754314803,5299.0
7,Greedy-E,0.8099415204678364,1.1102230246251565e-16,0.1560262781701482,0.0019393863725194244,0.0
7,Random,5.332309941520469,0.01459134641861849,0.35423669798624885,0.004929271959949422,3333.3
7,Static,0.8099415204678364,1.1102230246251565e-16,0.11883042050353147,0.002362676119481167,0.0
8,Lyapunov (ours),5.356725146198831,0.013542147575332732,0.06665409885594775,0.002661432211919628,91.0
8,Greedy-Q,14.85423976608187,0.19907970482658813,0.38477768177510796,0.007515862605023824,4852.7
8,Greedy-E,7.311695906432749,0.1221540003785718,0.15574322581656172,0.0018624666652382643,0.0
8,Random,12.261695906432749,0.19223228285807226,0.33387674697118097,0.005573153183523458,3023.3
8,Static,8.921783625730994,0.023035016457001064,0.11883042050353147,0.002362676119481167,0.0
9,Lyapunov (ours),11.93830409356725,0.011582048140548836,0.009336384667706213,0.0014735631675192203,0.0
9,Greedy-Q,17.325730994152046,0.13395164166076737,0.11766917279444059,0.0018072809730254591,0.0
9,Greedy-E,15.612719298245612,0.20849660166499442,0.1560461405068703,0.0013870601930930382,0.0
9,Random,16.569152046783625,0.20850849310421563,0.1551161488635701,0.0017818104044639907,0.0
9,Static,17.092251461988305,0.15246295103417545,0.11883042050353147,0.002362676119481167,0.0
10,Lyapunov (ours),18.93230994152047,0.010108885329276424,0.0,0.0,0.0
10,Greedy-Q,23.62821637426901,0.03555999174002839,0.11757884758420467,0.0020724723681805886,0.0
10,Greedy-E,22.258918128654972,0.015846901197253092,0.15609633610947946,0.001637630411635987,0.0
10,Random,23.351023391812866,0.03438284437047864,0.15561799380925365,0.0015895626317304944,0.0
10,Static,24.281871345029238,0.05017325749427326,0.11883042050353147,0.002362676119481167,0.0
11,Lyapunov (ours),24.994444444444444,0.015675351056936366,0.0,0.0,0.0
11,Greedy-Q,28.72324561403509,0.027304759892620413,0.11804318404312755,0.001473021610453252,0.0
11,Greedy-E,28.724561403508773,0.025626115338718936,0.15623761928853802,0.000648039559221933,0.0
11,Random,28.724561403508773,0.025626115338718936,0.15623761928853802,0.000648039559221933,0.0
11,Static,24.994444444444444,0.015675351056936366,0.0,0.0,0.0
