param_value,policy,pcap_violations,blackout_slots,service_rate,split_tasks,min_fill,total_quality
4.0,Lyapunov (ours),0,0,0.0,0,0.0,0.0
4.0,Greedy-Q,15963,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
4.0,Greedy-E,15963,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
4.0,Random,15835,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
4.0,Static,15963,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
4.5,Lyapunov (ours),0,0,0.7824723066366043,0,0.3097920380273409,3176.836000000091
4.5,Greedy-Q,15963,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
4.5,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
4.5,Random,7864,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
4.5,Static,15963,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
5.0,Lyapunov (ours),0,0,0.7824723066366043,0,0.3462768865121848,3703.648000000067
5.0,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
5.0,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
5.0,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
5.0,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
5.5,Lyapunov (ours),0,0,0.7824723066366043,0,0.3462768865121848,3703.648000000067
5.5,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
5.5,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
5.5,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
5.5,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
6.0,Lyapunov (ours),0,0,0.6299382413488873,3755,0.32892632204396594,3388.3849999999734
6.0,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
6.0,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
6.0,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
6.0,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
8.0,Lyapunov (ours),0,0,0.6299382413488873,3755,0.32892632204396594,3388.3849999999734
8.0,Greedy-Q,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
8.0,Greedy-E,0,0,0.7824723066366043,0,0.23459061200238085,3176.836000000092
8.0,Random,0,0,0.7832624394104264,0,0.33443093922652495,3410.876000000066
8.0,Static,0,0,0.7824723066366043,0,0.27349257278668965,3703.648000000073
