n_instances,12,n_optimal,12,mean_U_star,7.2
V,mean_norm_gap,std_norm_gap,mean_online_over_Ustar,std
1,0.5385416666666668,0.01972454505100526,0.46145833333333314,0.019724545051005238
2,0.5370370370370372,0.02000942850460585,0.4629629629629628,0.02000942850460582
5,0.5300925925925929,0.019848102879838923,0.46990740740740716,0.019848102879838885
10,0.5261574074074077,0.02098581033112071,0.4738425925925924,0.02098581033112068
20,0.5207175925925928,0.02211678061426142,0.4792824074074072,0.022116780614261384
50,0.4988425925925928,0.01571177891171603,0.5011574074074072,0.01571177891171602
100,0.449189814814815,0.0374247286973827,0.5508101851851851,0.0374247286973827
200,0.37094907407407424,0.025968002809699343,0.6290509259259257,0.02596800280969937
500,0.1387731481481485,0.017434643660086204,0.8612268518518515,0.01743464366008619
1000,0.14699074074074112,0.019852151998145585,0.853009259259259,0.01985215199814556
