p_isl,split_tasks,min_fill,total_quality,blackout_slots,peak_violations
0.3,228,0.326922162804521,3421.762000000058,0,0
0.5,331,0.32637849079026077,3412.765000000058,0,0
0.7,433,0.3263042186571654,3400.67300000006,0,0
0.85,530,0.32614616755793796,3393.208000000063,0,0
1.0,605,0.3254313725490253,3384.7130000000625,0,0
