model,family,Q,T_s,E_J,Ppeak_W,N_im,pareto,failed
Qwen2-VL-2B-Q4,Qwen2-VL,0.3977777777777778,1.235613132052951,3.92950487829303,4.153,2,True,False
SmolVLM2-2.2B-Q4,SmolVLM2,0.3266666666666666,1.8059801144070096,5.311493570047942,3.79845,2,False,False
Qwen2.5-VL-3B-Q4,Qwen2.5-VL,0.4644444444444444,1.7374028486675686,5.775514977555934,4.508,2,True,False
Qwen2.5-VL-7B-Q4,Qwen2.5-VL,0.5733333333333334,2.756090295049879,9.130053396154366,5.565,3,True,False
InternVL2.5-4B-Q4,InternVL2.5,0.5577777777777778,3.2117246617211235,9.436022982040578,3.347,4,False,False
InternVL3-8B-Q4,InternVL3,0.5444444444444444,4.784046241442362,14.766431381115982,4.3064,5,False,False
gemma-3-4b-Q4,Gemma3,0.5133333333333333,11.300384945869446,37.07090516408168,5.868,12,False,False
