model,family,Q,T_s,E_J,Ppeak_W,N_im,pareto,failed
Qwen2-VL-2B-Q4,Qwen2-VL,0.418,0.8336661033630371,2.816091258512386,4.556,1,True,False
Qwen2.5-VL-3B-Q4,Qwen2.5-VL,0.3,1.315392816066742,5.400643436929752,6.581,2,False,False
SmolVLM2-2.2B-Q4,SmolVLM2,0.338,1.8207019534111024,5.900683041454057,3.951,2,False,False
InternVL3-1B-Q8-224,InternVL3,0.1,2.232383752822876,7.338597773897504,6.39925,3,False,True
InternVL3-1B-Q8,InternVL3,0.1,2.188853229999542,8.698321906145742,6.471,3,False,True
Qwen2.5-VL-7B-Q4,Qwen2.5-VL,0.47,3.8872892680168154,27.902277617550332,10.718,4,True,False
gemma-3-4b-Q4,Gemma3,0.342,11.252169914245606,41.048094833395744,6.071,12,False,False
InternVL3-8B-Q4,InternVL3,0.51,8.662328167438506,62.78109539950216,11.022,9,True,False
